DAYSAHEAD,TARGETDATE,FORECASTDEMAND,CARDINALPOINT,CP_TYPE,CP_ST_TIME,CP_END_TIME,F_Point
2,2025-10-31,20108,1F,F,30,30,
2,2025-10-31,20206,1A,P,100,230,
2,2025-10-31,18071,L04,F,400,400,
2,2025-10-31,17863,1B,T,430,730,Om
2,2025-10-31,27061,2F,F,800,800,
2,2025-10-31,29407,2A,P,830,1200,DM
2,2025-10-31,28595,2B,P,1230,1300,
2,2025-10-31,28511,3B,T,1330,1630,Dm
2,2025-10-31,33495,DP,P,1700,1800,EM
2,2025-10-31,28325,4B,F,2100,2100,
2,2025-10-31,21056,4C,F,2400,2400,
3,2025-11-01,20877,1F,F,30,30,
3,2025-11-01,21009,1A,P,100,230,
3,2025-11-01,18239,L04,F,400,400,
3,2025-11-01,17834,1B,T,430,730,Om
3,2025-11-01,21974,2F,F,800,800,
3,2025-11-01,24766,2A,P,830,1200,DM
3,2025-11-01,23182,2B,P,1230,1300,
3,2025-11-01,23388,3B,T,1330,1630,Dm
3,2025-11-01,32763,DP,P,1700,1800,EM
3,2025-11-01,27899,4B,F,2100,2100,
3,2025-11-01,21755,4C,F,2400,2400,
4,2025-11-02,21334,1F,F,30,30,
4,2025-11-02,21392,1A,P,100,230,
4,2025-11-02,18397,L04,F,400,400,
4,2025-11-02,17909,1B,T,430,730,Om
4,2025-11-02,19919,2F,F,800,800,
4,2025-11-02,22487,2A,P,830,1200,
4,2025-11-02,23608,2B,P,1230,1300,DM
4,2025-11-02,24223,3B,T,1330,1630,Dm
4,2025-11-02,34553,DP,P,1700,1800,EM
4,2025-11-02,28622,4B,F,2100,2100,
4,2025-11-02,20811,4C,F,2400,2400,
5,2025-11-03,20563,1F,F,30,30,
5,2025-11-03,20442,1A,P,100,230,
5,2025-11-03,17745,L04,F,400,400,
5,2025-11-03,17389,1B,T,430,730,Om
5,2025-11-03,27913,2F,F,800,800,
5,2025-11-03,29968,2A,P,830,1200,DM
5,2025-11-03,28765,2B,P,1230,1300,
5,2025-11-03,29032,3B,T,1330,1630,Dm
5,2025-11-03,34513,DP,P,1700,1800,EM
5,2025-11-03,29066,4B,F,2100,2100,
5,2025-11-03,20235,4C,F,2400,2400,
6,2025-11-04,20237,1F,F,30,30,
6,2025-11-04,20339,1A,P,100,230,
6,2025-11-04,18035,L04,F,400,400,
6,2025-11-04,17777,1B,T,430,730,Om
6,2025-11-04,27758,2F,F,800,800,
6,2025-11-04,29799,2A,P,830,1200,DM
6,2025-11-04,27396,2B,P,1230,1300,
6,2025-11-04,28034,3B,T,1330,1630,Dm
6,2025-11-04,35516,DP,P,1700,1800,EM
6,2025-11-04,30671,4B,F,2100,2100,
6,2025-11-04,22179,4C,F,2400,2400,
7,2025-11-05,21853,1F,F,30,30,
7,2025-11-05,21909,1A,P,100,230,
7,2025-11-05,19552,L04,F,400,400,
7,2025-11-05,19422,1B,T,430,730,Om
7,2025-11-05,29428,2F,F,800,800,
7,2025-11-05,30649,2A,P,830,1200,DM
7,2025-11-05,28890,2B,P,1230,1300,
7,2025-11-05,29160,3B,T,1330,1630,Dm
7,2025-11-05,36929,DP,P,1700,1800,EM
7,2025-11-05,31950,4B,F,2100,2100,
7,2025-11-05,23143,4C,F,2400,2400,
8,2025-11-06,22587,1F,F,30,30,
8,2025-11-06,22608,1A,P,100,230,
8,2025-11-06,20252,L04,F,400,400,
8,2025-11-06,19922,1B,T,430,730,Om
8,2025-11-06,29806,2F,F,800,800,
8,2025-11-06,31124,2A,P,830,1200,DM
8,2025-11-06,29529,2B,P,1230,1300,
8,2025-11-06,29794,3B,T,1330,1630,Dm
8,2025-11-06,36482,DP,P,1700,1800,EM
8,2025-11-06,31447,4B,F,2100,2100,
8,2025-11-06,22076,4C,F,2400,2400,
9,2025-11-07,21787,1F,F,30,30,
9,2025-11-07,21770,1A,P,100,230,
9,2025-11-07,19261,L04,F,400,400,
9,2025-11-07,19180,1B,T,430,730,Om
9,2025-11-07,29022,2F,F,800,800,
9,2025-11-07,30891,2A,P,830,1200,DM
9,2025-11-07,29304,2B,P,1230,1300,
9,2025-11-07,28693,3B,T,1330,1630,Dm
9,2025-11-07,35679,DP,P,1700,1800,EM
9,2025-11-07,30555,4B,F,2100,2100,
9,2025-11-07,22703,4C,F,2400,2400,
10,2025-11-08,22574,1F,F,30,30,
10,2025-11-08,22639,1A,P,100,230,
10,2025-11-08,19542,L04,F,400,400,
10,2025-11-08,18818,1B,T,430,730,Om
10,2025-11-08,23411,2F,F,800,800,
10,2025-11-08,26039,2A,P,830,1200,DM
10,2025-11-08,25683,2B,P,1230,1300,
10,2025-11-08,26214,3B,T,1330,1630,Dm
10,2025-11-08,33924,DP,P,1700,1800,EM
10,2025-11-08,29228,4B,F,2100,2100,
10,2025-11-08,22454,4C,F,2400,2400,
11,2025-11-09,22671,1F,F,30,30,
11,2025-11-09,22732,1A,P,100,230,
11,2025-11-09,19767,L04,F,400,400,
11,2025-11-09,19095,1B,T,430,730,Om
11,2025-11-09,21739,2F,F,800,800,
11,2025-11-09,25138,2A,P,830,1200,
11,2025-11-09,26253,2B,P,1230,1300,DM
11,2025-11-09,26837,3B,T,1330,1630,Dm
11,2025-11-09,35607,DP,P,1700,1800,EM
11,2025-11-09,30224,4B,F,2100,2100,
11,2025-11-09,22427,4C,F,2400,2400,
12,2025-11-10,22464,1F,F,30,30,
12,2025-11-10,22628,1A,P,100,230,
12,2025-11-10,20611,L04,F,400,400,
12,2025-11-10,20160,1B,T,430,730,Om
12,2025-11-10,30847,2F,F,800,800,
12,2025-11-10,33134,2A,P,830,1200,DM
12,2025-11-10,31382,2B,P,1230,1300,
12,2025-11-10,31367,3B,T,1330,1630,Dm
12,2025-11-10,38783,DP,P,1700,1800,EM
12,2025-11-10,33392,4B,F,2100,2100,
12,2025-11-10,23839,4C,F,2400,2400,
13,2025-11-11,24028,1F,F,30,30,
13,2025-11-11,24100,1A,P,100,230,
13,2025-11-11,21576,L04,F,400,400,
13,2025-11-11,21242,1B,T,430,730,Om
13,2025-11-11,32121,2F,F,800,800,
13,2025-11-11,33356,2A,P,830,1200,DM
13,2025-11-11,31245,2B,P,1230,1300,
13,2025-11-11,31315,3B,T,1330,1630,Dm
13,2025-11-11,38752,DP,P,1700,1800,EM
13,2025-11-11,33664,4B,F,2100,2100,
13,2025-11-11,24203,4C,F,2400,2400,
14,2025-11-12,24547,1F,F,30,30,
14,2025-11-12,24691,1A,P,100,230,
14,2025-11-12,22358,L04,F,400,400,
14,2025-11-12,21719,1B,T,430,730,Om
14,2025-11-12,32698,2F,F,800,800,
14,2025-11-12,34265,2A,P,830,1200,DM
14,2025-11-12,32495,2B,P,1230,1300,
14,2025-11-12,32448,3B,T,1330,1630,Dm
14,2025-11-12,39194,DP,P,1700,1800,EM
14,2025-11-12,34027,4B,F,2100,2100,
14,2025-11-12,24578,4C,F,2400,2400,
